id,sequence,name,auto_apply,vat_required,country_id,country_group_id,tax_ids/tax_src_id,tax_ids/tax_dest_id,note,name@fr,name@nl,note@fr,note@nl
,,,,,,,attn_VAT-OUT-12-S,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-OUT-12-G,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-OUT-21-S,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-OUT-21-G,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-OUT-21-INC-S,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-OUT-21-INC-G,attn_VAT-OUT-00-ROW,,,,,
,,,,,,,attn_VAT-IN-V81-06,attn_VAT-IN-V81-06-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V81-12,attn_VAT-IN-V81-12-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V81-21-S,attn_VAT-IN-V81-21-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V81-21-G,attn_VAT-IN-V81-21-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-06-S,attn_VAT-IN-V82-06-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-06-G,attn_VAT-IN-V82-06-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-12-S,attn_VAT-IN-V82-12-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-12-G,attn_VAT-IN-V82-12-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-21-S,attn_VAT-IN-V82-21-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-21-G,attn_VAT-IN-V82-21-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V82-21-INC-S,attn_VAT-IN-V82-21-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V83-06,attn_VAT-IN-V83-06-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V83-12,attn_VAT-IN-V83-12-ROW-CC,,,,,
,,,,,,,attn_VAT-IN-V83-21,attn_VAT-IN-V83-21-ROW-CC,,,,,
